01,07,11,13,17,19,23,29,window_start,window_stop,gap_23_29,gap_29_01,reset_pressure,boundary_pressure,z_29,z_gap_29_01,z_reset_pressure,sparse_event,state
47,47,53,51,58,50,48,46,1520,1920,2,1,0.010752688172043012,0.02127659574468085,-0.9379369012447029,-1.0440297169274162,-1.0217637715221912,0,balanced
51,48,54,50,57,47,48,45,1560,1960,3,6,0.0625,0.03225806451612903,-1.1704025436352816,0.2528018445001502,0.30923161048087006,0,01-leading
50,49,53,52,55,47,50,44,1600,2000,6,6,0.06382978723404255,0.06382978723404255,-1.4028681860258605,0.2528018445001502,0.3434351392253531,0,01-leading
52,48,49,51,57,50,49,44,1640,2040,5,8,0.08333333333333333,0.053763440860215055,-1.4028681860258605,0.7715344690711767,0.84508689414444,0,01-leading
52,49,50,49,54,53,46,47,1680,2080,1,5,0.050505050505050504,0.010752688172043012,-0.705471258854124,-0.0065644677853630845,0.0007088714018448078,0,balanced
52,53,54,48,50,53,47,43,1720,2120,4,9,0.09473684210526316,0.044444444444444446,-1.6353338284164394,1.03090078135669,1.1383971546760785,0,01-leading
49,50,55,49,50,55,47,45,1760,2160,2,4,0.0425531914893617,0.021739130434782608,-1.1704025436352816,-0.26593078007087634,-0.20382132068637795,0,balanced
48,51,57,51,47,53,47,46,1800,2200,1,2,0.02127659574468085,0.010752688172043012,-0.9379369012447029,-0.7846634046419029,-0.7510777805981091,0,balanced
49,54,53,52,44,53,48,47,1840,2240,1,2,0.020833333333333332,0.010526315789473684,-0.705471258854124,-0.7846634046419029,-0.7624789568462702,0,balanced
51,52,53,53,43,51,48,49,1880,2280,1,2,0.02,0.010309278350515464,-0.24053997407296634,-0.7846634046419029,-0.783913168192813,0,balanced
51,50,52,54,43,53,48,49,1920,2320,1,2,0.02,0.010309278350515464,-0.24053997407296634,-0.7846634046419029,-0.783913168192813,0,balanced
49,50,50,52,45,55,48,51,1960,2360,3,2,0.02,0.030303030303030304,0.22439131070819132,-0.7846634046419029,-0.783913168192813,0,balanced
50,48,51,52,46,54,46,53,2000,2400,7,3,0.02912621359223301,0.0707070707070707,0.689322595489349,-0.5252970923563896,-0.5491773390772762,0,balanced
48,49,53,53,48,52,48,49,2040,2440,1,1,0.010309278350515464,0.010309278350515464,-0.24053997407296634,-1.0440297169274162,-1.0331687393154962,0,balanced
47,51,54,53,46,50,52,47,2080,2480,5,0,0.0,0.050505050505050504,-0.705471258854124,-1.3033960292129294,-1.2983342405098401,0,balanced
49,46,52,53,50,50,51,49,2120,2520,2,0,0.0,0.02,-0.24053997407296634,-1.3033960292129294,-1.2983342405098401,0,balanced
51,46,53,51,52,48,50,49,2160,2560,1,2,0.02,0.010101010101010102,-0.24053997407296634,-0.7846634046419029,-0.783913168192813,0,balanced
52,44,52,52,56,47,48,49,2200,2600,1,3,0.0297029702970297,0.010309278350515464,-0.24053997407296634,-0.5252970923563896,-0.5343425489498987,0,balanced
51,40,51,52,60,48,47,51,2240,2640,4,0,0.0,0.04081632653061224,0.22439131070819132,-1.3033960292129294,-1.2983342405098401,0,balanced
50,44,50,50,58,50,47,51,2280,2680,4,1,0.009900990099009901,0.04081632653061224,0.22439131070819132,-1.0440297169274162,-1.043670343323193,0,balanced
52,45,48,46,58,51,48,52,2320,2720,4,0,0.0,0.04,0.45685695309877017,-1.3033960292129294,-1.2983342405098401,0,balanced
53,46,49,46,57,51,48,50,2360,2760,2,3,0.02912621359223301,0.02040816326530612,-0.008074331682387506,-0.5252970923563896,-0.5491773390772762,0,balanced
53,46,48,48,57,50,49,49,2400,2800,0,4,0.0392156862745098,0.0,-0.24053997407296634,-0.26593078007087634,-0.28966547126076714,0,balanced
55,46,47,47,52,49,53,51,2440,2840,2,4,0.03773584905660377,0.019230769230769232,0.22439131070819132,-0.26593078007087634,-0.3277284436852605,0,balanced
53,44,46,49,53,52,52,51,2480,2880,1,2,0.019230769230769232,0.009708737864077669,0.22439131070819132,-0.7846634046419029,-0.8036985940511602,0,balanced
51,49,45,45,54,50,53,53,2520,2920,0,2,0.019230769230769232,0.0,0.689322595489349,-0.7846634046419029,-0.8036985940511602,0,balanced
50,48,47,48,52,49,54,52,2560,2960,2,2,0.0196078431372549,0.018867924528301886,0.45685695309877017,-0.7846634046419029,-0.7939998558853036,0,balanced
52,52,45,47,51,48,52,53,2600,3000,1,1,0.009523809523809525,0.009523809523809525,0.689322595489349,-1.0440297169274162,-1.0533718251207795,0,balanced
51,53,48,49,49,45,52,53,2640,3040,1,2,0.019230769230769232,0.009523809523809525,0.689322595489349,-0.7846634046419029,-0.8036985940511602,0,balanced
52,51,50,47,51,45,52,52,2680,3080,0,0,0.0,0.0,0.45685695309877017,-1.3033960292129294,-1.2983342405098401,0,balanced
50,54,51,49,49,42,51,54,2720,3120,3,4,0.038461538461538464,0.02857142857142857,0.9217882378799278,-0.26593078007087634,-0.30906294759248,0,balanced
49,56,50,51,48,43,49,54,2760,3160,5,5,0.04854368932038835,0.04854368932038835,0.9217882378799278,-0.0065644677853630845,-0.04973940478890024,0,balanced
50,55,49,49,47,43,53,54,2800,3200,1,4,0.038461538461538464,0.009345794392523364,0.9217882378799278,-0.26593078007087634,-0.30906294759248,0,balanced
51,54,50,49,50,42,50,54,2840,3240,4,3,0.02857142857142857,0.038461538461538464,0.9217882378799278,-0.5252970923563896,-0.5634469943426584,0,balanced
52,54,49,49,50,41,49,56,2880,3280,7,4,0.037037037037037035,0.06666666666666667,1.3867195226610856,-0.26593078007087634,-0.3457026251079379,0,balanced
52,55,47,53,48,43,48,54,2920,3320,6,2,0.018867924528301886,0.058823529411764705,0.9217882378799278,-0.7846634046419029,-0.8130313420975502,0,balanced
53,56,47,53,43,48,46,54,2960,3360,8,1,0.009345794392523364,0.08,0.9217882378799278,-1.0440297169274162,-1.0579505618570237,0,balanced
48,56,50,53,46,47,49,51,3000,3400,2,3,0.030303030303030304,0.02,0.22439131070819132,-0.5252970923563896,-0.5189083733628291,0,balanced
48,56,48,51,47,49,50,51,3040,3440,1,3,0.030303030303030304,0.009900990099009901,0.22439131070819132,-0.5252970923563896,-0.5189083733628291,0,balanced
47,52,48,56,46,48,50,53,3080,3480,3,6,0.06,0.02912621359223301,0.689322595489349,0.2528018445001502,0.24492897644124156,0,29-leading
45,51,50,58,47,50,51,48,3120,3520,3,3,0.03225806451612903,0.030303030303030304,-0.47300561646354516,-0.5252970923563896,-0.46862283354689305,0,balanced
