window_start,window_stop,window_center,prime_count,lane_01,lane_07,lane_11,lane_13,lane_17,lane_19,lane_23,lane_29
117301,120300,118800.5,257,35,32,27,36,31,33,31,32
117601,120600,119100.5,253,33,31,29,35,31,32,31,31
117901,120900,119400.5,253,34,31,27,32,33,33,33,30
118201,121200,119700.5,258,33,31,30,32,35,34,32,31
118501,121500,120000.5,260,35,33,30,30,34,31,32,35
118801,121800,120300.5,262,38,32,30,28,39,32,33,30
119101,122100,120600.5,263,38,30,32,28,38,32,33,32
119401,122400,120900.5,267,36,30,33,29,41,32,33,33
119701,122700,121200.5,265,35,30,36,29,38,31,34,32
120001,123000,121500.5,262,34,29,35,28,40,31,31,34
120301,123300,121800.5,259,35,27,34,23,38,33,33,36
120601,123600,122100.5,267,32,30,36,28,39,34,31,37
120901,123900,122400.5,262,30,32,37,28,39,31,31,34
121201,124200,122700.5,260,30,32,37,29,35,29,35,33
121501,124500,123000.5,259,30,31,36,30,38,33,33,28
121801,124800,123300.5,261,27,32,36,35,32,33,34,32
122101,125100,123600.5,253,25,34,33,32,30,34,36,29
122401,125400,123900.5,255,28,35,34,31,27,35,36,29
122701,125700,124200.5,256,28,36,35,28,29,35,36,29
123001,126000,124500.5,255,29,37,33,28,30,34,38,26
123301,126300,124800.5,259,31,38,35,30,32,33,38,22
123601,126600,125100.5,255,34,39,34,28,30,32,38,20
123901,126900,125400.5,253,36,34,34,30,28,32,38,21
124201,127200,125700.5,247,36,32,30,30,28,33,37,21
124501,127500,126000.5,247,35,32,34,30,27,30,38,21
124801,127800,126300.5,249,36,34,34,25,29,31,39,21
125101,128100,126600.5,252,36,35,35,27,30,30,37,22
125401,128400,126900.5,252,34,36,36,27,30,28,38,23
125701,128700,127200.5,256,36,35,34,30,28,30,39,24
126001,129000,127500.5,258,35,34,36,30,28,29,39,27
126301,129300,127800.5,258,32,35,36,30,26,29,40,30
126601,129600,128100.5,261,30,30,36,30,29,33,40,33
126901,129900,128400.5,257,27,31,34,31,30,32,38,34
127201,130200,128700.5,262,28,36,35,29,30,33,37,34
127501,130500,129000.5,265,28,36,32,30,30,34,36,39
127801,130800,129300.5,260,29,33,29,33,30,34,34,38
128101,131100,129600.5,259,31,33,29,33,28,34,33,38
128401,131400,129900.5,254,33,30,29,34,28,32,32,36
128701,131700,130200.5,249,34,30,30,31,31,29,29,35
129001,132000,130500.5,251,34,31,30,31,30,32,27,36
129301,132300,130800.5,248,34,28,28,31,32,34,26,35
129601,132600,131100.5,244,38,28,25,31,31,34,25,32
