window_start,euclidean_drift,cosine_similarity_previous,cosine_drift,boundary_imbalance_delta,reflection_gap_delta,boundary_pressure,reflection_pressure
30601,4.123105625617661,0.9994684451791002,0.0005315548208998377,-3.0,-1.0,0.006756756756756757,0.09333333333333334
30901,6.324555320336759,0.9982147015116193,0.0017852984883807155,-12.0,-6.0,0.03355704697986577,0.012987012987012988
31201,5.5677643628300215,0.9988910597921885,0.001108940207811493,3.0,-3.0,0.024054982817869417,0.02631578947368421
31501,5.385164807134504,0.9988142932069758,0.0011857067930242104,1.0,2.0,0.02027027027027027,0.0
31801,4.0,0.9992728593839437,0.0007271406160562766,-6.0,1.0,0.04054054054054054,0.013333333333333334
32101,4.795831523312719,0.9989648272240105,0.0010351727759895235,7.0,4.0,0.016835016835016835,0.06666666666666667
32401,5.477225575051661,0.9987266607576418,0.0012733392423581735,4.0,-3.0,0.0034129692832764505,0.02857142857142857
32701,6.708203932499369,0.9980313702978071,0.0019686297021929144,-3.0,-5.0,0.013888888888888888,0.04477611940298507
33001,2.449489742783178,0.9997306842608242,0.00026931573917576834,0.0,0.0,0.013986013986013986,0.04477611940298507
33301,6.164414002968976,0.9981933833473029,0.0018066166526971017,8.0,-2.0,0.013888888888888888,0.07462686567164178
33601,5.916079783099616,0.9984700242447431,0.0015299757552569293,3.0,4.0,0.024734982332155476,0.014084507042253521
33901,6.557438524302,0.9978556714366223,0.002144328563377651,9.0,2.0,0.05673758865248227,0.014492753623188406
34201,5.477225575051661,0.9987173815619392,0.0012826184380607675,-8.0,2.0,0.027777777777777776,0.04225352112676056
34501,5.385164807134504,0.9987414088812941,0.001258591118705854,-5.0,1.0,0.01060070671378092,0.05555555555555555
34801,5.291502622129181,0.998608473207887,0.0013915267921129626,8.0,1.0,0.038869257950530034,0.0684931506849315
35101,6.0,0.9982134940450653,0.0017865059549346807,8.0,-1.0,0.06761565836298933,0.05405405405405406
35401,6.0,0.9982244073961217,0.0017755926038782732,-8.0,-1.0,0.038869257950530034,0.0410958904109589
35701,6.4031242374328485,0.9979722038490909,0.002027796150909089,-5.0,2.0,0.02127659574468085,0.07042253521126761
36001,5.744562646538029,0.9983757496151806,0.0016242503848193923,9.0,2.0,0.053003533568904596,0.09859154929577464
36301,5.744562646538029,0.9983744649754961,0.0016255350245039102,-9.0,2.0,0.02112676056338028,0.1232876712328767
36601,6.708203932499369,0.9977839529887469,0.0022160470112531083,3.0,-1.0,0.03180212014134275,0.12121212121212122
36901,5.291502622129181,0.9986130810427594,0.0013869189572406349,-4.0,2.0,0.0176678445229682,0.15151515151515152
37201,4.58257569495584,0.9989605542334662,0.0010394457665338086,-5.0,-1.0,0.0,0.13846153846153847
37501,3.7416573867739413,0.9993768583551839,0.0006231416448161387,4.0,0.0,0.014388489208633094,0.14754098360655737
37801,5.830951894845301,0.9984715899348805,0.001528410065119501,-12.0,-4.0,0.029411764705882353,0.0847457627118644
38101,5.5677643628300215,0.9987091092483087,0.0012908907516913093,-3.0,2.0,0.039711191335740074,0.12280701754385964
38401,6.244997998398398,0.9980534909249283,0.0019465090750716563,5.0,3.0,0.02142857142857143,0.16129032258064516
38701,2.6457513110645907,0.9997817154260826,0.0002182845739173711,1.0,-1.0,0.017543859649122806,0.13846153846153847
39001,6.6332495807108,0.9978637029974463,0.0021362970025536887,-8.0,-3.0,0.0456140350877193,0.09090909090909091
39301,3.605551275463989,0.9993727274981236,0.0006272725018764413,3.0,1.0,0.03496503496503497,0.10144927536231885
39601,6.928203230275509,0.9977936016858872,0.002206398314112845,-2.0,-2.0,0.041379310344827586,0.0684931506849315
39901,3.872983346207417,0.9992989504998283,0.000701049500171691,1.0,0.0,0.03806228373702422,0.06666666666666667
40201,4.0,0.9992593650203785,0.0007406349796215128,2.0,0.0,0.0313588850174216,0.06666666666666667
